"Sludinājumi 
 
 
datums","Modelis","Gads","Tilp.","Nobrauk.","Cena","brand"
"BMW 330d kupeja ar 170kw/230zs dzinēju un 6-pārnesumu manuālo ātrumkārbu.","330",2007,"3.0D",284000,6900,"BMW"
"BMW X1, xDrive , Automats, auto ļoti labā tehniska gan vizuālā stāvokli , sv","X1",2011,"2.0D",,11250,"BMW"
"Новый Т. О 13.11.2023
Продаю хороший Х5, 3.0d, 160kw, 6akpp, машина во влад","X5",2004,"3.0D",350000,4900,"BMW"
"Februārī ievests no Vācijas 2, 0l 130kw motors manuālis. 
Facelift modelis","320",2009,"2.0D",261000,5200,"BMW"
"BMW 520d, 100Kw. 
2020.gadā ievesta Latvijā. 
Viens saimnieks. 
Kopts aut","520",2000,"2.0D",370000,2200,"BMW"
"BMW 116, 1.6 benzīns, manuālā ātrumkārba. Uzticams un jaudīgs dzinējs, patēr","116",2006,"1.6",209000,3000,"BMW"
"Pārdodu 320D 177 h, M pack 2009.gada zilu bmw. Tehniski un vizuāli labā kārt","320",2009,"2.0D",286000,9500,"BMW"
"X5 BMW 225Kw
Vācijas Dienvidi. 

Ļoti skaists un ekonomisks Auto. 
Oriģi","X5",2012,"3.0D",,14990,"BMW"
"Stāv pie stūra, jo nezinu, ko izdomāju nopirkt BMW. Patīk dizains, bet nav m","116",2004,"1.6",186000,1800,"BMW"
"Pārdodu bmw 320D 120kw (M47) M-pack
mašīna mūsu īpašumā daudzus gadus, ir k","320",2006,"2.0D",312000,5640,"BMW"
"Pārdodu bmw e46 330xd ar 135kw motoru, rūpnīcas mpakete, melni griesti, robo","330",2003,"3.0D",4e+05,3500,"BMW"
"Pārdošanā tehniski un vizuāli ļoti labs auto, kopts saudzēts un uzturēts kār","330",2001,"3.0D",325000,2550,"BMW"
"Pārdodu Bmw e 46 1998 gada 1.9 benzīns /gāze vizuāli saguris virsū r 18 disk","318",1998,"1.9",360000,1300,"BMW"
"В хорошем состоянии. Продаю в связи с покупкой нового автомобиля.","530",2004,"3.0D",,3950,"BMW"
"Pārdodu BMW 320D Modern Line 2012.

Ādas salons, melnie griesti, Harman/ka","320",2012,"2.0D",195000,12999,"BMW"
"Отличное состояние. Замен Егр у официального диллера. Комфортный вход, head","520",2016,"2.0D",224000,20100,"BMW"
"Jauna skate, ieliktie viennieki stuures pirksts , savirze un amartins samain","530",2004,"3.0D",345000,4500,"BMW"
"Pārdod BMW M4 Competition Package Coupe 331kw/450zs. Apkopes veiktas BMW aut","M4",2018,"3.0",36000,59950,"BMW"
"BMW 530xd 170kw. Tiko izieta jauna TA 28.11.2023. LV ievests 2020.gadā. Izsk","530",2006,"3.0D",268000,3800,"BMW"
"BMW 320d xDrive Granturismo F34. 
Ievests no Vācijas, nav cietis avārijās.","320",2014,"2.0D",129000,18000,"BMW"
"Auto kā auto, viss strādā, rūc, brauc, daži vizuāli defekti, šis tas jauns,","318",2001,"1.8",280000,1400,"BMW"
"BMW E60 530d 160kw 2004 года, механическая коробка передач. Поменян комплек","530",2004,"3.0D",328000,3990,"BMW"
"Pārdodu BMW E46 Facelift. 

Mašīnai ir 77kw 1.9 benzīna dzinējs, 5 ātrumu","316",2002,"1.9",190000,1950,"BMW"
"Pārdodu BMW 318 2008 gada. Motors 2.0 l, 105kW (143Ag). Benzīns. Sedans. Meh","318",2008,"2.0",290000,4800,"BMW"
"В хорошем состоянии, заинтересованных, звоните, все расскажу.","X5",2004,"3.0D",305000,6000,"BMW"
"Tiek palaists tirgošanā sievas bembītis. Saudzīgi lietots, ir šādi-tādi vizu","118",2007,"2.0D",280000,3700,"BMW"
"M-Pacete / BMW -Gt 2.0 d Automāts. Pilnā komplektācijā. 
Tikko no Nīderland","320",2015,"2.0D",194000,14950,"BMW"
"BMW 330, 170Kw. 
2019.gadā ievesta Latvijā. 
Kopts auto, mainītas eļļas, f","330",2006,"3.0D",342000,5230,"BMW"
"Pārdodu savu Bmw318D, Ar labu komplektāciju. Lietie diski R16 ar labam riepā","318",2012,"2.0D",301000,7850,"BMW"
"Arī Maiņa - F11 (Facelift) - 3.0d (Xdrive) - Tikko Latvijā - Ļoti labs tehni","530",2013,"3.0D",,13500,"BMW"
"BMW iX xDrive40.
Состояние нового автомобиля, привезен из Голландии. 
Перв","Citi",2022,"E",6.1,85000,"BMW"
"Pārdod ekonomisku un sportisku BMW 120, 2.0 dīzelis, M-pack labā vizuālā un","120",2005,"2.0D",305000,5400,"BMW"
"Pārdodu BMW X3, 2005.gads, automāts, 3 L dīzels. Nodokļi nomaksāti. Svaiga s","X3",2005,"3.0D",,4100,"BMW"
"Продаю BMW E65 facelift 170kw. 
Очень хорошо сохранившийся автомобиль, кузо","730",2006,"3.0D",,5300,"BMW"
"Tehniski ideālā stāvoklī.","X5",2008,"3.0D",376000,10500,"BMW"
"Pārdodas Bmw no Vācijas x5 e70 3.0D 173kw labā tehniskā stavoklī, mašina ir","X5",2007,"3.0D",244000,11700,"BMW"
"Atvests no Spānijas 2018. gadā. Spānijā kopš 1993. auto ir bijis tikai viens","525",1993,"2.5",193000,10000,"BMW"
"Pārdodu BMW x1, 130kW, Sdrive. Auto izcilā kārtībā, viss darbojas, salons ko","X1",2010,"2.0D",243000,12200,"BMW"
"Приехала из Германии, машина в хорошем состояние. Новый аккумулятор, поменян","535",2005,"3.0D",309000,5950,"BMW"
"Sveiki, pārdodu BMW E34 530i. 
Auto manā īpašuma 2, 5 gadus, kuru laikā pad","530",1995,"3.0",311000,3999,"BMW"
"BMW X4 M-pack Xdrive, rūpnīcas pilna garantija līdz 2023.gadam. 
Tumši zils","X4",2018,"2.0D",142000,29900,"BMW"
"Sveiki. Tirgoju savu automašīnu BMW 318d, 85kw un 115hp. Auto ļoti labā tehn","318",2003,"2.0D",338000,2950,"BMW"
"Pārdodu BMW 318 kupeju, nesen atdzīta no Vācijas. Nebūsim rupji un nesauksim","318",2002,"2.0",170000,3900,"BMW"
"Mašīna ļoti labā stāvoklī, ja ir reāla interese, vairāk informācija pa telef","320",2000,"2.0",305000,2500,"BMW"
"BMW 120 E87 pirmās sērijas 2.0D ar teicamu jaudu un griezes momentu. 205Hp u","120",2005,"2.0D",258000,3800,"BMW"
"Tiek pārdots labs un kopts auto. Dzinējs un kārba strādā perfekti. Virzbūve","530",2006,"3.0D",442000,3950,"BMW"
"Bmw 320 d 100 kW braucama stavokli krāsa hamelion ar defektiem nodoklis par","320",2001,"2.0D",392000,1300,"BMW"
"BMW 320d F31. 1 Hand. Ķēdes komplekts mainīts pirms 40t. km. 

Sparkling-b","320",2013,"2.0D",,10950,"BMW"
"Pārdodu bmw e46 3.0 dīzelis ar 135kw motoru. Vizuāli nav tas labākais bet ta","330",2002,"3.0D",347000,1900,"BMW"
"BMW M4 F83. Viens īpašnieks. Rūpīga attieksme. Ideāls stāvoklis. Tikko atbra","M4",2017,"3.0",,47700,"BMW"
"Auto no Vācijas. 
-Servisa grāmatiņa. Cena ar reģistrāciju un tehnisko apsk","525",2001,"2.5",,2990,"BMW"
"Perfektā tehniskajā un vizuālajā stāvoklī. Viens saimnieks, pārskatāma vēstu","520",2015,"2.0D",112000,16500,"BMW"
"BMW X5 Xdrive30D F15 M-Sport Package, 3.0d - 190 kw / 258 zs 
Automašīna ar","X5",2017,"3.0D",122000,37700,"BMW"
"Pārdodu BMW 320Gt xDrive Mperformance. Auto tehniski un vizuāli labā stāvokl","320",2013,"2.0D",233000,16800,"BMW"
"Pārdodās dzīvs, jaudīgs, dinamisks e46 3.0D 150kw, NE spaiņa krāsā, bet tumš","330",2003,"3.0D",291000,3000,"BMW"
"Pardodu vai mainu BMW 525d+čipots, mašīna ir braucamā kartība nodoklis ir sa","525",2005,"2.5D",,3250,"BMW"
"Bmw Lci 525d, M-pack, 3.0D, webasto. Facelift, M-руль, кожаный Sport-салон с","530",2008,"3.0D",405000,7600,"BMW"
"Tiek pārdots BMW, tehniski labā stāvoklī.","530",2011,"3.0D",310000,11200,"BMW"
"BMW X5 M paket. Xdrive 3.0 SD (210 kw-286 p/s) 3.0 Dīzelis pilnpiedziņa ar a","X5",2009,"3.0D",228000,11990,"BMW"
"BMW X5 ar 3.0 litru dizeļdzinēju un automātisko transmisiju. Gaiš in sakopts","X5",2011,"3.0D",145000,22900,"BMW"
"BMW 525 2006.gada 2.5 dīzelis

Komplektācijā:
-Jauna TA
-R18 Lietie disk","525",2006,"2.5D",,5690,"BMW"
"BMW 520 2.0 dīzelis, automāts. 

Auto ideālā&nbsp ;tehniskā un vizuālā&","520",2012,"2.0D",288000,12950,"BMW"
"BMW X5 3.0 Dīzelis, 173Kw. , Automats. 
Jaudīga un komfortabla. Labā stavok","X5",2007,"3.0D",,8950,"BMW"
"Продам BMW 120d coupe, оригинальный M-pack, 130kw, авто в хорошем состоянии,","120",2009,"2.0D",260000,8000,"BMW"
"BMW 525D X-Drive 3.0L Dīzelis, 145kW, 06.2009 g. 

251 170 km

No Vācija","525",2009,"3.0D",,7700,"BMW"
"Pārdod bmw e93 individual. 330d čipots, 288zs. Individuāls krāsojums un salo","330",2007,"3.0D",290000,11100,"BMW"
"Pārdod BMW 530 F10. Auto aprīkots ar 3.0d turbo dzinēju 180kw/245zs, manuālo","530",2011,"3.0D",347000,10450,"BMW"
"Bmw 730d 180kw Sport Paket Pilna komplektacija. original nobraukums. Pilns a","730",2011,"3.0D",,14900,"BMW"
"Bmw X6 3.0d M-Sport / Comfort Access / Xdrive

Automašīnas priekšocības:","X6",2018,"3.0D",72000,46900,"BMW"
"Bmw 320D 190Zs

Automašīnas Priekšocības:

Pārskatāms un patiess nobrauk","320",2019,"2.0D",71000,30500,"BMW"
"Bmw 320D 190Zs

Automašīnas Priekšocības:

Pārskatāms un patiess nobrauk","320",2019,"2.0D",68000,30500,"BMW"
"1555, - Euro, Steidzami-Bmw e39 , 2, 5 dīzelis , labs tehniskais stāvoklis,","525",2003,"2.5D",407000,1555,"BMW"
"Bmw 320d 190Zs , M Sport , Xdrive

Automašīnas Priekšocības:

Pārskatāms","320",2017,"2.0D",118000,25600,"BMW"
"Bmw i3s 120 ah , HK audio, Pdc , Camera, Adaptive Led, Comfort Access

Aut","i3",2019,"E",73000,32600,"BMW"
"Продаю Bmw 530d F11 Facelift 258л. с. Машина в хорошем техническом и визуаль","530",2013,"3.0D",,11900,"BMW"
"Pārdodu auto ar jaunu apskati un nomaksātu nodokli, tehniski viss labā stāvo","320",2006,"2.0D",395000,4450,"BMW"
"Bmw 530D, Xdrive, Head-Up, Adaptive Led

Automašīnas Priekšocības:

Pārs","530",2019,"3.0D",50000,43500,"BMW"
"Bmw 320d xDrive, Led

Automašīnas Priekšocības:

Pārskatāms un patiess n","320",2020,"2.0D",29000,39200,"BMW"
"Bmw 530d , xDrive , M Sport , Adaptive Cruise, Adaptive Led, Harman/kardon,","530",2018,"3.0D",61000,42500,"BMW"
"Bmw X1 xDrive , X Line

Automašīnas Priekšocības:

Pārskatāms un patiess","X1",2019,"2.0D",120000,28500,"BMW"
"Bmw X3 2.0D 190Zs, G01, Xdrive, M Sport 

Automašīnas Priekšocības:

Pār","X3",2019,"2.0D",96000,40900,"BMW"
"Bmw 730d E65, individual, facelift modelis. 
Auto laba tehniska un vizuala","730",2006,"3.0D",319000,5990,"BMW"
"Bmw X7 40D 340Zs, 7 seats, Laser lights, Auxiliary heating, Panorama glass r","X7",2021,"3.0D",39000,96500,"BMW"
"Хорошее техническое состояние 
Имеются не значительные визуальные дефекты","318",2000,"1.8",350000,1750,"BMW"
"Pārdodu savu labo e46 320d. Tikko izieta jauna tehniskā apskate. Gatavs ziem","320",2002,"2.0D",327000,2350,"BMW"
"BMW 316d 2.0 dīzelis 85kW. 
Oriģināls nobraukums 197000 km (Ecsdd var pārba","316",2013,"2.0D",197000,9600,"BMW"
"35d 210kW, šobrīd ap 320zs. Dinamisks, bet pa trasi iekļaujas 8l/100km. Pa s","X5",2008,"3.0D",302000,10350,"BMW"
"Pārdodu labu auto bez rūsas. Pirms 4men ievests no vācijas. sīkāk zvanot. Ps","320",2005,"2.0D",456000,2000,"BMW"
"Pārdodu E91 - dzinējs 145kw. 
Auto ir Orğinālā M pakotne, glāžu turētāji, p","330",2007,"3.0D",287000,6350,"BMW"
"Bmw 530D, Xdrive, Head-up, Luxury Line, Active cruise Control+Stop&go functi","530",2018,"3.0D",107000,35600,"BMW"
"Bmw X3 2.0D 190Zs Xdrive, Camera, Navi, Pdc

Automašīnas Priekšocības:","X3",2015,"2.0D",135000,21900,"BMW"
"Bmw X4 2.0 185 Kw/ Adaptive Led / Pdc / Camera / 

Automašīnas Priekšocība","X4",2018,"2.0",43000,43200,"BMW"
"Bmw X5 3.0d , xDrive , Msport

Automašīnas Priekšocības:

Pārskatāms un","X5",2020,"3.0D",53000,71900,"BMW"
"Двигатель, коробка и ходовая в хорошем состоянии, надо переваривать пороги с","540",1997,"4.4",280000,2500,"BMW"
"Bmw 520d Luxury Line, X drive, Camera , Pdc

Automašīnas priekšocības:","520",2017,"2.0D",114000,29600,"BMW"
"BMW X6 35i Xdrive. 3.0 benzins, 225 kw, 306 zs. 
Laba tehniskā un vizuālā s","X6",2008,"3.0",191000,12150,"BMW"
"BMW X5 2005.g. 3.0 Dīzelis

Komplektācijā:
-Jauna TA
-4x4
-Sport pack","X5",2005,"3.0D",,7290,"BMW"
"Pārdodas E61 3.0D ar 173 kw. 
M paka. 
R19 style 128 diski. 
Logic 7 mūzi","530",2007,"3.0D",265000,9750,"BMW"
"Bmw 320D 190Zs, Xdrive, Sport Line, Harman/kardon, Laserlicht

Automašīnas","320",2019,"2.0D",66000,36900,"BMW"
"BMW X1 no Vācijas, 2.0d 105kw, X-drive. Svaigs auto teicamā tehniskā un vizu","X1",2010,"2.0D",268000,7900,"BMW"
"Bmw 530d , xDrive , M Sport , Adaptive Cruise

Automašīnas priekšocības:","530",2019,"3.0D",81000,41300,"BMW"
"Bmw X3 2.0D 190Zs, G01, Xdrive, X Line

Automašīnas Priekšocības:

Pārsk","X3",2018,"2.0D",93000,37300,"BMW"
"BMW 218i Gran Tourer M-Sport / Led / Pdc / Apple Car Play

Automašīnas pri","218",2020,"1.5",58000,24500,"BMW"
"Bmw X6M / Adaptive Led / Soft-Close / Head up / Comfort access

Automašīna","X6",2016,"4.4",134000,46200,"BMW"
"Tikko ievests Latvijā X5 225kw, 3.0 4D, komforta salons, Ķēde nomainīta- ir","X5",2011,"3.0D",320000,14900,"BMW"
"Продается Bmw X5 F15 3.0d, 190kw. Хорошая комплектация. В салоне не курили.","X5",2014,"3.0D",208000,27750,"BMW"
"BMW X5 3.0 dīzelis 160kw automāts

Auto labā vizuālā stāvoklī. 
Nomainīta","X5",2006,"3.0D",,5690,"BMW"
"BMW E91, 325 Xi (pilnpiedziņa), manuālā kārba, 218 hp. 
Oriģināls nobraukum","325",2007,"2.5",189000,5990,"BMW"
"Latvijā nav ekspluatēts. X Drive. Teicamā tehniskā un vizuālā stāvoklī ar ko","525",2012,"2.0D",,12390,"BMW"
"Pārdodu BMW 645 labā stāvoklī. Turēts garāžā. Ziemā nebraucu. Virsū stāv R19","645",2004,"4.4",131000,9700,"BMW"
"BMW M5 CS 4.4i V8 635Zs X-Drive M Carbon Ceramic Brakes M Carbon Bucket Seat","M5",2021,"4.4",4000,179900,"BMW"
"BMW X3 F25 184Zs X-Drive M-Sportpaket

Automātiskā Start/stop funkcija 
B","X3",2013,"2.0D",226000,18900,"BMW"
"Pārdod Bmw 328i ar defektu. Sagatavota street klasei. 

M50B25 ieplūde
zf","328",1994,"2.8",265000,3200,"BMW"
"BMW 318d Touring Luxury Line, 2.0d - 105 kw / 143 zs 
Automašīna ar oriģinā","318",2012,"2.0D",265000,11990,"BMW"
"BMW 530 3.0 dīzelis, 190 kW, automāts. 
TA 03.2023.
Nodoklis nomaksāts.","530",2015,"3.0D",198000,18500,"BMW"
"730d x-drive. Pirkts Vācijā pie dīlera, visi dati par auto pieejami un viegl","730",2018,"3.0D",48000,49000,"BMW"
"Pārdod BMW 535D labā stāvoklī. Tikko remontēta ritošā daļa, restaurētas abas","535",2005,"3.5D",298000,6090,"BMW"
"Продаю Bmw e60 2.5d shadowline. Дорожный налог оплачен. Спорт руль, м пороги","525",2004,"2.5D",,2550,"BMW"
"Uz tirdziņu labs BMW X6, laba komplektācija, tiko veikta liela apkope, eļas,","X6",2008,"3.0D",289000,14000,"BMW"
"BMW 730i E65 Facelift, 3.0 I Benzīns 190kW/258zs, Цвет-Alpinweiss 3 (300), о","730",2008,"3.0",260000,11900,"BMW"
"Pārdod ērtu pilsētas krosoveri, BMW X3 sDrive 2.0 dīzelis, manuāls. 
Auto t","X3",2016,"2.0D",226000,17600,"BMW"
"BMW 520D, 2015.g. , 2.0D 120kW. Oriģināls nobraukums 192 451km. No Beļģijas.","520",2015,"2.0D",,15100,"BMW"
"Pirmā iemaksa 800 eiro un savstarpējs līgums par mēneša maksājumu 230 eiro m","320",2008,"2.0D",,4900,"BMW"
"Pārdodu bmw ar jaunu tehnisko apskati. Mašīna ir ļoti labā tehniskā un vizuā","325",2003,"2.2",304000,2500,"BMW"
"Ļoti simpātisks BMW 325d E91
Auto labā tehiskā kārtība, pārbaudīts viss ir","325",2008,"2.5D",294000,6590,"BMW"
"530i 251 z/s, M pakete, Harman/kardon audio sistēma, 360 kamera, 3D kamera,","530",2019,"3.0",61000,40500,"BMW"
"Autot labā stāvoklī. Jaunas riepas. Pilnākā komplektācija. Tikko izieta tehn","X5",2002,"3.0D",,4550,"BMW"
"130kw 2.0D degvielas patēriņš 5.4 litri uz 100km. Auto labā stāvoklī. Ļoti l","120",2008,"2.0D",312000,5250,"BMW"
"Auto labā stāvoklī. Viena no pilnākajām komplektācijām. Tikko izieta tehnisk","530",2005,"3.0D",340000,5250,"BMW"
"Auto ir tuvu ideālam vizuālām un tehniskam stāvoklim (nav rūsas vispār). Nes","325",1993,"2.5",292000,4050,"BMW"
"Tirgoju labu savam gadam atbilstošu BMW pirmās sērijas Bmw. Pēc Vin auto ir","118",2009,"2.0D",163000,6000,"BMW"
"Цвет ''Arctic metalic'' В ЛВ один владелец. Все ремонты производились своевр","320",2007,"2.0D",349000,4400,"BMW"
"BMW 320, 2009.g. , 2.0D 130kW. Ļoti ekonomiska. Ļoti labs tehniskais un vizu","320",2009,"2.0D",,6550,"BMW"
"Pārdod BMW 5X 3L bendzins/ gāze ļoti ekanomisks. 
€3300 cena vēl rinājama.","X5",2000,"3.0",520000,3100,"BMW"
"Продаю хорошую бмв . Фейслифт модель . Машина в хорошем техническом и визуал","525",2007,"2.5D",398000,4650,"BMW"
"Sport Paka - Komfort - 
Facelift Pārejas modelis - 2013 gada - reģistrācija","X6",2013,"3.0D",234000,20000,"BMW"
"Ievests no Itālijas, bez rūsas, 135 KW motors, panorāmas lūka, lielais ekrān","X3",2012,"2.0D",204000,13500,"BMW"
"535 facelift, no itālijas ( bez rūsas ), 210kw, tiefsee-blau metallic, jauna","535",2007,"3.0D",224000,5300,"BMW"
"BMW 525d Mpaket. 150 kW / 205 HP. No Belgijas. 

Space-grey metallic. 
Le","525",2011,"3.0D",,12450,"BMW"
"Ļoti labā tehniskā un vizuālā kārtībā. 
2.0 dīzeļa 130 KW motors, Automāts,","320",2010,"2.0D",,5750,"BMW"
"Tikko no Holandes, teicamā tehniskā un vizuālā kārtībā. 

Attālināti auto","320",2009,"2.0D",,4950,"BMW"
"Продаю bmw 530xd, 170kw, hud up дисплей, панорамный люк рабочий, новая резин","530",2006,"3.0D",268000,6500,"BMW"
"Tirgojas ļoti labs e91, ar tiko iezietu svaigu apskati un nomaksātiem nodokļ","320",2009,"2.0D",,5450,"BMW"
"Pārdod. Ļoti kopts auto saudzīgi lietots un Pieskatīts. Ta bez aizrādījumiem","420",2017,"2.0D",195000,20000,"BMW"
"BMW 120D /120kw ar labu komplektāciju, jauna TA - bez aizrādījumiem, labā te","120",2005,"2.0D",250000,4800,"BMW"
"Saimnieks pārdod BMW F10 535i 225Kw/306Hp 2010. gada. Auto ievests Latvijā 4","535",2010,"3.0",252000,13000,"BMW"
"Facelift. Full. Pilnākā komplektācija. Cамая полная комплектация. 

Auto k","X5",2012,"3.0D",,16700,"BMW"
"Ziemā ievests no vācijas, r18 diski, jaunas riepas m+s, navigācija, klimats,","120",2005,"2.0D",150000,3995,"BMW"
"Pārdod automašīnu laba stāvoklī. Automašīnai jauna skate kura izieta bez jeb","X5",2004,"3.0D",349000,5500,"BMW"
"Pārdodu e36 m52b28tu 142kw kupeju ar svaigi izietu skati, virsū uzlikts Felo","318",1993,"2.8",,5000,"BMW"
"Individual X5 40D facelift. Auto tikko ievests Latvijā , piereģistrēts, izie","X5",2010,"3.0D",,16750,"BMW"
"Xdrive BMW 530 facelift 2008.gada 3.0 dīzelis 173kw. 
Skate līdz 27.07.2023","530",2008,"3.0D",385000,7100,"BMW"
"Pārdodu E60 labā stāvoklī
160 kv + čips brauc kā raķete. 
Oriģinālais nobr","530",2004,"3.0D",266000,5500,"BMW"
"BMW X6M F96 Competition 625Zs X-Drive Sky Lounge Bowers&wilkins / Garantija","X6",2022,"4.4",24000,145000,"BMW"
"330i benzīns, no rūpnīcas mtech 1 , sporta paka, airodinamikas paka, nappa ā","330",2000,"3.0",270000,4000,"BMW"
"BMW E90 Mpack 
320d 130kw
Авто в хорошем техническом и визуальном состояни","320",2008,"2.0D",220000,6350,"BMW"
"Pārdodas mašīna, kura februārā mēnesī bija atvesta no Vācijas un kurai autos","320",2009,"2.0D",291000,5800,"BMW"
"2.0 Dīzelis, mehāniskā ātrumkārba, ādas salons, klimatkontrole, sēdeklu apsi","X3",2006,"2.0D",362000,3990,"BMW"
"BMW X1 xDrive20d (130kw/177zs)
Facelift xLine komplektācija. 
Tikko no Vāc","X1",2012,"2.0D",268000,9850,"BMW"
"Pirkta Latvijā jauna. Kopta un labi uzturēta. Visas apkopes veiktas laikā un","X5",2017,"3.0D",140000,35900,"BMW"
"BMW 525d Xdrive Touring, 2.0d - 160 kw / 218 zs 
Automašīna ar oriģinālu, p","525",2012,"2.0D",208000,13990,"BMW"
"TA 08.23. 2.5 benzīns/gāze. Pārdodu normālu auto. Tehniski labā stāvoklī, vi","323",1999,"2.5",313000,2400,"BMW"
"BMW 530 GT labā tehniskā un vizuālā stāvoklī, tīrs kopts salons, teicami str","530",2013,"3.0D",,16899,"BMW"
"Ievesta no Vacijas 2017 gadā. Kopta lolota, visas apkopes veiktas ik pēc 10k","X5",2008,"3.0D",308000,9000,"BMW"
"Pārdodu BMW 740d facelift. 313 hp, R21 oriģinālie diski ar ļoti labām riepām","740",2012,"3.0D",215000,21900,"BMW"
"Pārdodu BMW e90 ar divlitrīgu benzīna dzinēju, manuālo ātrumkārbu. Auto ar s","318",2006,"2.0",202000,4750,"BMW"
"Nesen ievest pa Latviju nav braukusi
Nobraukums 237058

BMW 320 2007.g. 2","320",2007,"2.0D",,7499,"BMW"
"BMW X5 G05 30D 286zs X-Drive M-Sportpaket Air Suspension / Garantija

Rūpn","X5",2022,"3.0D",27000,92000,"BMW"
"Продаётся автомобиль в хорошем состоянии для своих лет, технически и визуаль","320",2004,"2.0D",312000,2750,"BMW"
"48000 bez Pvn. BMW GT 630 xDrive (210zs -155kW). M- Sport package. Jauna aut","630",2019,"3.0D",99000,58080,"BMW"
"Продаю бмв X5 3.0 дизель, 160 kw, год назад пригнана с Германии. в отличном","X5",2006,"3.0D",265000,6149,"BMW"
"Pārdošanā ļoti labs auto, teicamā stāvoklī, ar jaunu teh apskati, pirms apsk","640",2011,"3.0D",,18900,"BMW"
"BMW F31, 316D super ekanomisks 5, 3l/100km. Ādas salons. Pārdodu vai mainu a","320",2013,"1.6D",292000,9100,"BMW"
"Bmw 320d Facelift 110kw
Tikko Ievests vācu auto 
Piereģistrēts un izieta j","320",2004,"2.0D",254000,3680,"BMW"
"В хорошем визуальном состояние, требуется вложение средств для прохождения Т","530",2004,"3.0D",220000,2800,"BMW"
"Pārdod teicamā stāvoklī X5 4.0d Xdrive, 306 zs. Automašīna kopta, bez jebkād","X5",2012,"4.0D",277000,18500,"BMW"
"BMW M3 3.2 Usa 240hp, 
Ievests no Usa un atmuitots, 
Aizmugurējo arku defe","M3",1999,"3.2",132000,10500,"BMW"
"BMW 535d(200kw), M Sportpaket, tikko no Vācijas, piereģistrēts, nomaksāti no","535",2005,"3.0D",268000,5900,"BMW"
"BMW F31 Sport line. Tikko ievests, nomaksāts nodoklis, jauna TA (bez aizrādī","318",2013,"2.0D",259000,12800,"BMW"
"530d 142kw 2003.g Facelift. Tehniskā apskate līdz 15.09.23. Nodoklis par šo","530",2003,"3.0D",453000,1690,"BMW"
"Automāts. 318Is Auto tikko no vācijas. Bez Rūsas. Dinamisks. Sēdināts ar spo","318",1996,"1.9",,2500,"BMW"
"Auto tikko no Vācijas , labā tehniskā un vizuālā kārtībā, reģistrācija iekļa","318",2006,"2.0",173000,4350,"BMW"
"Pārdod Bmw X5, 
Labā gan tehniskā gan vizuālā stāvoklī, svaiga tehniskā aps","X5",2004,"3.0D",254000,6500,"BMW"
"Tikko ievests. Automāts. Ksenoni. Tālo gaismu assistents. Ādas salons. Palīd","116",2011,"1.6",,8600,"BMW"
"Достойный для своих лет автомобиль , есть визуальные дефекты , с момента , к","320",2006,"2.0D",235000,5900,"BMW"
"Pardodu winterbiteri , labās ziemas riepas ar radzem, rusa ir , sliekšņi jām","330",2000,"3.0D",367000,2200,"BMW"
"BMW 530d M-pack Facelift nesen ievests ar tehnisko apskati līdz 25.05.2023 g","530",2008,"3.0D",279000,8950,"BMW"
"Pārdodu BMW 116D 2011.gada 2.0 dīzeļa motors, 85 kW. 
Sešu ātrumu manuālā p","116",2011,"2.0D",,5800,"BMW"
"3.0 dīzelis 190 kw teicama tehniskā un vizuālā kondicijā, sīkāk pa telefonu.","530",2014,"3.0D",,17000,"BMW"
"BMW 520D ar 2.0 Dīzeļa dzinēju un Automātisko ātrumkārbu- 190 Z/s. Vidējais","520",2017,"2.0D",104000,25790,"BMW"
"BMW X3 ar mehānisko pārnesumkārbu. 2005.gads. 
2.0 dīzelis(110 kW)
Oriģinā","X3",2005,"2.0D",277000,5490,"BMW"
"Pārdodas BMW 330d 135 kw, čipota Vācijā, ir ap 220 hp. 
Tikko izieta TA, lī","330",2002,"3.0D",356000,3500,"BMW"
"Pārdodu savu e90, tehniski un vizuāli ļoti labā stāvoklī, rūsas nav. Tehnisk","320",2008,"2.0D",285000,4900,"BMW"
"E87 fl modelis ar 1.6 benzīna dzinēju un manuālo kārbu labā stāvoklī. Visi e","116",2009,"1.6",240000,3700,"BMW"
"Pārdodu BMW E46 318D. 
Par visu sīkāk zvanot. 
Maiņa ne interese.","318",2004,"2.0D",407000,998,"BMW"
"BMW 525 2008.g. 3.0 dīzelis

Komplektācijā:
-M-paka
-Melnie griesti
-Li","525",2008,"3.0D",,8490,"BMW"
"Pārdod Tiko ievestu un reģistrētu ar nomaksatiem nodokļiem un izietu jaunu T","X5",2007,"3.0",,11350,"BMW"
"BMW X6M xDrive AT / 2011.g. / 116 750 Km

Krāsa: alpinweiss 3

Comfort p","X6",2011,"4.4",117000,30900,"BMW"
"Pardodu BMW 525 (e60) 2005gads 2.5 benz. 
Auto ljoti laba vizuala un tehnis","525",2005,"2.5",306000,5500,"BMW"
"Bmw G31 520d X-Drive, M-Sportpaket, 2.0, 140.kw, 190.zs

80000.km

- Krā","520",2019,"2.0D",80000,35750,"BMW"
"BMW e90. 318d. 105kw/143zs ""Facelift"" Auto labā tehniskā un vizuālā stāvoklī","318",2009,"1.8D",299000,5950,"BMW"
"Īslaicīgs Cenu Samazinājums -
Pilna virsbūves restaurācija, 735 3.5L V8. La","735",1997,"3.5",306000,6490,"BMW"
